,text,timestamp_ms
0,avoid jumping conclusions relationship diff ... cancer,2019-01-02 11:06:00.000
1,start new year,2019-01-02 11:06:00.000
2,rt jovanmhill tellin shrimp fried rice,2019-01-02 11:06:00.000
3,rt bt21_ first step new year ’ resolution let ’ start new year cleaning wherearethey universtar_story_unfolds sneak_a_peek…,2019-01-02 11:06:00.000
4,rt justcallmebaba renaissancenunz okay rosetta stone sorry gon na teach orrr,2019-01-02 11:06:00.000
5,rt koksalakn complicity amp,2019-01-02 11:06:00.000
6,rt wef top class read education society,2019-01-02 11:06:00.000
7,yes service army.not navy seaman service thanks much respect,2019-01-02 11:06:00.000
8,rt knockknock0408 hq 190101 suho cr beauty,2019-01-02 11:06:01.000
9,rt jonathanwatts immediately taking power brazil yesterday bolsonaro made agriculture ministry run farmers respons…,2019-01-02 11:06:01.000
10,rt exoglobal official 190102 mbc website update chen loveshot exo 엑소 weareoneexo,2019-01-02 11:06:01.000
11,take shit please rt awareness,2019-01-02 11:06:01.000
12,actually papaya sorry,2019-01-02 11:06:01.000
13,two would make great january,2019-01-02 11:06:01.000
14,rt yg_blackpink ’ forget hashtag misskoreajisooday tonight jisoo blackpink,2019-01-02 11:06:02.000
15,rickygervais ’ fuckin awesone,2019-01-02 11:06:02.000
16,rt cha_alejandra_ 'm back full time fangirl since vacation ended 'm still busy w/ work japantasticmaywa…,2019-01-02 11:06:02.000
17,rt ajscattergood firefighter publicduty inform nearly 9 years tory austerity fire service b…,2019-01-02 11:06:02.000
18,rt merrywhite_jm 180113 4th muster fan meeting happy ever 뾰로퉁 jimin 지민 짐니 박분홍 bts 방탄소년단 bts_twt,2019-01-02 11:06:02.000
19,rt dvatw iranians could easily flee foot wealthy secure azerbaijan turkmenistan uzbekistan kazakhstan short boat tri…,2019-01-02 11:06:01.000
20,grip upon possessions grows tightest resilience close ... sagittarius,2019-01-02 11:06:03.000
21,rt angie_karan see child slave treated 's trying get close mom rightful food dairy de…,2019-01-02 11:06:03.000
22,rt snea1k certain shit n't excite,2019-01-02 11:06:03.000
23,rt msnbc fact checks look back president trump 's 10 biggest falsehoods 2018,2019-01-02 11:06:03.000
24,rt ssddoly women ’ fight tripletalaq niqah-halala want enter hindu temple break tradition hindus thin…,2019-01-02 11:06:03.000
25,rt svenrazorgames live playing assassin 's creed odyssey join stream guys first 2019 stream help guys,2019-01-02 11:06:03.000
26,rt kvngspice morgan freeman reviewing 2018 best thing seen today,2019-01-02 11:06:03.000
27,keep chilled water systems going winter,2019-01-02 11:06:03.000
28,rt thegreatkhalid turning 21 year life crazy,2019-01-02 11:06:03.000
29,oyster mushroom,2019-01-02 11:06:03.000
30,rt rin777_a ワロタ,2019-01-02 11:06:04.000
31,size-growth-2018-2027/5c2c9af7c854360009e55ee2,2019-01-02 11:06:04.000
32,rt miakcolucci cant wait mans kids big beautiful home,2019-01-02 11:06:04.000
33,rocashsite,2019-01-02 11:06:04.000
34,rt lifebizzles follow everyone likes,2019-01-02 11:06:04.000
35,rt derekbateman2 ’ started year well basic dishonesty ignoring westminster cuts discretionary budget bil…,2019-01-02 11:06:04.000
36,would probably mess,2019-01-02 11:06:05.000
37,rt knockknock0408 hq 190101 sehun cr.lappedxposure,2019-01-02 11:06:05.000
38,rt andreamendeld dear past thanks lessons dear future ready,2019-01-02 11:06:05.000
39,rt cudominer happy new year everyone cudo kick 2019 bang start earning today cudo miner download ht…,2019-01-02 11:06:05.000
40,rt newsenstar1 newsen 하이라이트 highlight 이기광-양요섭 팬들에게 받은 새해 선물이 양손 가득 공항패션 incheona ... 양요섭 yangyoseop 梁耀燮 이기광 leegikwang 李起光 하…,2019-01-02 11:06:05.000
41,rt min9yua mingyu ’ still single bc eats inkigayo sandwiches numbers,2019-01-02 11:06:05.000
42,rt indiatoday iconic woman ceo playboy billionaire diamantaire take look india 's high amp mighty bite dust…,2019-01-02 11:06:05.000
43,rt aproko_doctor one session shisha isthe thing smoking 100 cigarettes shisha n't flavoured smoke take shish…,2019-01-02 11:06:05.000
44,rt billtufts brazil 's new president calls return country 's historic traditional values far-right trudeau …,2019-01-02 11:06:05.000
45,rt harry_styles 2019. happy new year everyone love happiness h,2019-01-02 11:06:05.000
46,rt sereneseungyeon realized seokmin bowed suho ’ notice moved back line could greet othe…,2019-01-02 11:06:06.000
47,rt ilda_talk jover ’ credibility gone timing perfect mid-term elections politician re-election th…,2019-01-02 11:06:06.000
48,rt thebluntdoctor6 random guy club may buy drink sure *hands drinks over* fr- htt…,2019-01-02 11:06:06.000
49,loooool fuck rifht,2019-01-02 11:06:06.000
50,latest las vegas travel daily 8nn breaking,2019-01-02 11:06:06.000
51,rt montenegro_emil aldenrichardsat27 lynieg88 wengcookie saltikwowa salvadortrish21 sherrypie18 radoc_jeana aldubthess16 there…,2019-01-02 11:06:06.000
